X,Y,Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (m),Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,icon_url
-33.31,-22.75,"22",Borga,Picepieti,Picepieti County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"6892",160.5,990,-22.75,-33.31,"4",,port,,walls,,temple,,./0.png
8.71,-23.94,"23",Cherda,,,Neutrals,undefined,Leonin,No religion,"645",1169,1018.5,-23.94,8.71,"4",,port,,,,,,./0.png
11.08,-6.58,"24",Moonmorest,,,Neutrals,undefined,Kalashtar,No religion,"7165",1226,602,-6.58,11.08,"25",,port,citadel,walls,plaza,temple,,./0.png
-36.67,-12.58,"25",Cecqua,,,Neutrals,undefined,Human,No religion,"4141",80,746,-12.58,-36.67,"25",,port,citadel,,plaza,,,./0.png
21.21,-3.42,"26",Fokongchau,,,Neutrals,undefined,Thri-kreen,No religion,"2662",1469,526,-3.42,21.21,"36",,port,citadel,walls,,,,./0.png
-9.77,-6.69,"27",Hvamsund,,,Neutrals,undefined,Dwarf,No religion,"4068",725.5,604.5,-6.69,-9.77,"196",,port,,,plaza,,,./0.png
3.88,11.4,"28",Chevry,,,Neutrals,undefined,Verdan,No religion,"2443",1053,170.5,11.4,3.88,"4",,port,citadel,,,,,./0.png
0.88,1.96,"29",Inemel,,,Neutrals,undefined,Triton,No religion,"477",981.1,396.9,1.96,0.88,"4",,,citadel,,,,,./0.png
-37.48,-4.48,"30",Carea,Guaro,Guaro County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"613",60.5,551.5,-4.48,-37.48,"4",,port,,,,,,./0.png
9.72,-11.21,"31",Balan Ulan,,,Neutrals,undefined,Gith,No religion,"481",1193.22,712.95,-11.21,9.72,"4",,,citadel,walls,,,,./0.png
29.48,-21.15,"32",Lyhaseradar,Selsa,Selsa Shire,Dranzandyndor,Empire of Dranzandyndor,Elf,The Egyptian Pantheon,"3959",1667.59,951.54,-21.15,29.48,"4",,,citadel,,,,,./0.png
30.3,-21.34,"33",Tlindhemar,Selsa,Selsa Shire,Dranzandyndor,Empire of Dranzandyndor,Elf,The Egyptian Pantheon,"458",1687.26,956.2,-21.34,30.3,"4",,,citadel,walls,plaza,,,./0.png
-19.23,-9.81,"34",Scandolagor,,,Neutrals,undefined,Genasi,No religion,"1163",498.42,679.38,-9.81,-19.23,"9",,,,,,,,./0.png
2.19,-11.43,"35",Venciglia,Fasavigliaga,Fasavigliaga County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"445",1012.48,718.31,-11.43,2.19,"9",,,,walls,,,,./0.png
-24.29,-11.6,"36",Kuhta,,,Neutrals,undefined,Haregon,No religion,"7719",377,722.5,-11.6,-24.29,"9",,port,citadel,walls,plaza,,,./0.png
-3.03,-13.01,"37",Sezaglia,Ancignania,Ancignania Landgrave,Fonticalia,Fonticalian Empire,Human,Greek Deities,"1968",887.17,756.34,-13.01,-3.03,"9",,,,,,,,./0.png
1.6,-12.91,"38",Veziano,Fulia,Fulia Landgrave,Fonticalia,Fonticalian Empire,Human,Greek Deities,"2060",998.47,753.75,-12.91,1.6,"9",,,,,,,,./0.png
-2.87,-13.56,"39",Apricico,Ancignania,Ancignania Landgrave,Fonticalia,Fonticalian Empire,Human,Greek Deities,"447",891.21,769.4,-13.56,-2.87,"9",,,,,,,,./0.png
0.84,-13.87,"40",Frasta,Vallararo,Vallararo County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"1235",980.12,776.78,-13.87,0.84,"9",,,citadel,,,,,./0.png
-8.63,-6.9,"41",Snubadir,,,Neutrals,undefined,Dwarf,No religion,"451",752.82,609.59,-6.9,-8.63,"25",,,,,plaza,,,./0.png
18.24,-6.95,"42",Oreos,,,Neutrals,undefined,Kender,No religion,"454",1397.76,610.73,-6.95,18.24,"25",,,citadel,,plaza,,,./0.png
-6.55,-8.03,"43",Aljah,,,Neutrals,undefined,Lizardfolk,No religion,"2418",802.9,636.64,-8.03,-6.55,"36",,,citadel,walls,plaza,,,./0.png
8.19,15.79,"44",Albafar,,,Neutrals,undefined,Yuan-ti,No religion,"3478",1156.5,65,15.79,8.19,"4",,port,,walls,plaza,,,./0.png
-27.92,10.35,"45",Talorinhelek,,,Neutrals,undefined,Orc,No religion,"7438",290,195.5,10.35,-27.92,"4",,port,,walls,plaza,,,./0.png
31.38,-5.19,"46",Cyhmeriussad,,,Neutrals,undefined,Elf,No religion,"5454",1713,568.5,-5.19,31.38,"4",,port,citadel,walls,,,shanty town,./0.png
33.17,-8.17,"47",Umarius,,,Neutrals,undefined,Elf,No religion,"2843",1756,640,-8.17,33.17,"4",,port,,,,,,./0.png
9.0,-9.62,"48",Balai,,,Neutrals,undefined,Gith,No religion,"2607",1175.91,674.82,-9.62,9,"4",,,citadel,walls,,,,./0.png
7.87,-10.95,"49",Tsetserdos,,,Neutrals,undefined,Gith,No religion,"3949",1148.9,706.9,-10.95,7.87,"4",,,,walls,plaza,,,./0.png
33.67,-10.25,"50",Tlindrinfe,,,Neutrals,undefined,Elf,No religion,"3856",1768,690,-10.25,33.67,"4",,port,citadel,,plaza,,,./0.png
-30.91,-16.35,"51",Vanelba,,,Neutrals,undefined,Human,No religion,"493",218.17,836.29,-16.35,-30.91,"4",,,,,,,,./0.png
0.94,-19.48,"52",Montecorpi,,,Neutrals,undefined,Human,No religion,"3047",982.5,911.5,-19.48,0.94,"4",,port,citadel,walls,plaza,,,./0.png
36.17,-21.1,"53",Eldrinlu,Eseras,Eseras County,Dranzandyndor,Empire of Dranzandyndor,Elf,The Egyptian Pantheon,"5921",1828,950.5,-21.1,36.17,"4",,port,,walls,plaza,temple,,./0.png
-5.06,-25.21,"54",Cerranolo,Cotelilac,Cotelilac County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"7855",838.5,1049,-25.21,-5.06,"4",,port,citadel,walls,plaza,,shanty town,./0.png
-17.72,-9.55,"55",Forbo,,,Neutrals,undefined,Genasi,No religion,"442",534.65,673.09,-9.55,-17.72,"9",,,citadel,,,,,./0.png
-7.92,7.8,"56",Douromarti,,,Neutrals,undefined,Giff,No religion,"2501",770,256.9,7.8,-7.92,"16",,,,,plaza,,,./0.png
19.79,3.05,"57",Lefran,Neanalonele,Neanalonele Shire,Dranzandyndor,Empire of Dranzandyndor,Elf (Eladrin),The Egyptian Pantheon,"450",1435,370.7,3.05,19.79,"16",,,,,,,,./0.png
-25.44,-23.65,"58",Carvi,Belalentia,Belalentia County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"2152",349.5,1011.5,-23.65,-25.44,"16",,port,,,plaza,,,./0.png
-15.15,-25.15,"59",Casalleroli,Sontia,Sontia County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"625",596.5,1047.5,-25.15,-15.15,"16",,port,citadel,,,,,./0.png
9.56,-8.17,"60",Claywaven,,,Neutrals,undefined,Kalashtar,No religion,"648",1189.5,640,-8.17,9.56,"25",,port,,walls,,,,./0.png
-30.85,-16.83,"61",Linonero,,,Neutrals,undefined,Human,No religion,"2840",219.5,848,-16.83,-30.85,"25",,port,citadel,walls,plaza,,,./0.png
-8.79,-23,"62",Ronteravigna,Cervolalom,Cervolalom County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"564",749,996,-23,-8.79,"25",,port,citadel,,,,,./0.png
3.31,-4.92,"63",Abercastros,,,Neutrals,undefined,Satyr,No religion,"4978",1039.5,562,-4.92,3.31,"64",,port,citadel,walls,,temple,,./0.png
-14.75,-1.87,"64",Tjotbopas,Hrafrost,Hrafrost County,Tragbigia,Empire of Tragbigia,Dwarf,The Norse Pantheon,"770",606,489,-1.87,-14.75,"81",capital,,citadel,walls,,,,./0.png
-8.91,-8.09,"65",Fjerfi,,,Neutrals,undefined,Dwarf,No religion,"437",746.2,638.1,-8.09,-8.91,"121",,,citadel,,,,,./0.png
-6.12,15.63,"66",Bosting,,,Neutrals,undefined,Dragonborn,No religion,"2158",813,69,15.63,-6.12,"4",,port,,,plaza,,,./0.png
26.38,13.04,"67",Shemla,Imsenatha,Imsenatha County,Dranzandyndor,Empire of Dranzandyndor,Elf (Mark of Shadow),The Egyptian Pantheon,"11388",1593,131,13.04,26.38,"4",,port,citadel,walls,plaza,temple,shanty town,./0.png
-27.29,11.96,"68",Bolsoy,,,Neutrals,undefined,Hobgoblin,No religion,"3070",304.93,157.03,11.96,-27.29,"4",,,citadel,walls,plaza,,,./0.png
-2.23,8.92,"69",Hrafta,,,Neutrals,undefined,Dragonborn,No religion,"5499",906.5,230,8.92,-2.23,"4",,port,citadel,walls,,,,./0.png
28.48,9.6,"70",Briquasadhil,,,Neutrals,undefined,Elf,No religion,"570",1643.5,213.5,9.6,28.48,"4",,port,,,,,,./0.png
30.02,5.08,"71",Math Aisese,,,Neutrals,undefined,Elf,No religion,"4189",1680.57,321.97,5.08,30.02,"4",,,,walls,plaza,,,./0.png
4.46,1.71,"72",Lef Arlor,,,Neutrals,undefined,Triton,No religion,"4976",1067,403,1.71,4.46,"4",,port,citadel,,plaza,,,./0.png
29.16,-1.76,"73",Thelona,,,Neutrals,undefined,Elf,No religion,"1404",1659.94,486.35,-1.76,29.16,"4",,,citadel,,,,,./0.png
7.85,-11.39,"74",Renchbalger,,,Neutrals,undefined,Gith,No religion,"460",1148.35,717.38,-11.39,7.85,"4",,,,,,,,./0.png
-15.79,-11.77,"75",Shinanqing,,,Neutrals,undefined,Tortle,No religion,"3964",581.07,726.55,-11.77,-15.79,"4",,,,,plaza,,,./0.png
37.04,-16.33,"76",Thyuegheimy,Ceraloraset,Ceraloraset County,Dranzandyndor,Empire of Dranzandyndor,Elf,The Egyptian Pantheon,"563",1849,836,-16.33,37.04,"4",,port,,,,,,./0.png
-30.12,-24.04,"77",Segnitinone,Frasia,Frasia County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"3497",237,1021,-24.04,-30.12,"4",,port,citadel,,plaza,,,./0.png
-27.81,-24.02,"78",Orgalenza,Frasia,Frasia County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"2691",292.5,1020.5,-24.02,-27.81,"4",,port,citadel,walls,plaza,,,./0.png
22.33,17.33,"79",Esariondee,Eerinlondra,Eerinlondra Shire,Dranzandyndor,Empire of Dranzandyndor,Elf,The Egyptian Pantheon,"591",1496,28,17.33,22.33,"9",,port,citadel,,plaza,,,./0.png
-20.36,-10.36,"80",Duracentebu,,,Neutrals,undefined,Centaur,No religion,"1609",471.3,692.6,-10.36,-20.36,"9",,,citadel,,,,,./0.png
-24.54,-10.83,"81",Pasakuma,,,Neutrals,undefined,Haregon,No religion,"4773",371,704,-10.83,-24.54,"9",,port,citadel,walls,,temple,shanty town,./0.png
-21.64,-10.52,"82",Sareaventes,,,Neutrals,undefined,Centaur,No religion,"1127",440.54,696.49,-10.52,-21.64,"9",,,,walls,,,,./0.png
5.12,-13.2,"83",Ricicigna,Pettefredrig,Pettefredrig County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"466",1082.86,760.7,-13.2,5.12,"9",,,citadel,,,,,./0.png
10.29,-5.81,"84",Aurestalshi,,,Neutrals,undefined,Kalashtar,No religion,"5639",1207,583.5,-5.81,10.29,"25",,port,,walls,,temple,shanty town,./0.png
-11.31,-23.67,"85",Sercico,Fiugliamatri,Fiugliamatri County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"5547",688.45,1012.15,-23.67,-11.31,"25",,,citadel,walls,plaza,,,./0.png
19.76,-3.64,"86",Shautaupin,,,Neutrals,undefined,Thri-kreen,No religion,"1693",1434.2,531.4,-3.64,19.76,"81",,,citadel,,,,,./0.png
-4.9,6.85,"87",Solsoykir,,,Neutrals,undefined,Dwarf,No religion,"4391",842.5,279.5,6.85,-4.9,"144",,port,citadel,,,,,./0.png
10.1,16.44,"88",Yabethagroth,,,Neutrals,undefined,Fairy,No religion,"4365",1202.5,49.5,16.44,10.1,"4",,port,,,plaza,,,./0.png
-24.25,16.64,"89",Samu,,,Neutrals,undefined,Goblin,No religion,"2841",377.92,44.71,16.64,-24.25,"4",,,citadel,walls,plaza,,,./0.png
3.54,16.08,"90",Sungavene,,,Neutrals,undefined,Dragonborn,No religion,"1336",1045,58,16.08,3.54,"4",,port,citadel,,plaza,,,./0.png
-7.51,14.26,"91",Tjarlaks,,,Neutrals,undefined,Dragonborn,No religion,"3790",779.74,101.82,14.26,-7.51,"4",,,,walls,,,,./0.png
3.98,10.58,"92",Gondroy,,,Neutrals,undefined,Verdan,No religion,"842",1055.56,190.03,10.58,3.98,"4",,,citadel,,,,,./0.png
-31.25,4.77,"93",Minarima,,,Neutrals,undefined,Loxodon,No religion,"1296",209.9,329.5,4.77,-31.25,"4",,,,,,,,./0.png
31.29,2.92,"94",Felsemar,,,Neutrals,undefined,Elf,No religion,"423",1710.97,373.87,2.92,31.29,"4",,,,,,,,./0.png
-16.39,-10.96,"95",Huzhou,,,Neutrals,undefined,Tortle,No religion,"1954",566.53,707.13,-10.96,-16.39,"4",,,citadel,,,,,./0.png
5.05,-12.21,"96",Tollo,Fasavigliaga,Fasavigliaga County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"1966",1081.09,737.14,-12.21,5.05,"4",,,citadel,,plaza,,,./0.png
35.93,-12.24,"97",Linneas,Sylfa,Sylfa Shire,Dranzandyndor,Empire of Dranzandyndor,Astral Elf,The Egyptian Pantheon,"412",1822.28,737.7,-12.24,35.93,"4",,,,,,,,./0.png
36.19,-12.83,"98",Evraraqualin,Sylfa,Sylfa Shire,Dranzandyndor,Empire of Dranzandyndor,Elf,The Egyptian Pantheon,"564",1828.5,752,-12.83,36.19,"4",,port,,,,,,./0.png
36.71,-14.86,"99",Mythelohilfa,Sylfa,Sylfa Shire,Dranzandyndor,Empire of Dranzandyndor,Elf,The Egyptian Pantheon,"1711",1841.05,800.55,-14.86,36.71,"4",,,citadel,,,,,./0.png
-2.87,-17.03,"100",Conecorga,,,Neutrals,undefined,Human,No religion,"5175",891.03,852.71,-17.03,-2.87,"4",,,,walls,plaza,temple,shanty town,./0.png
-29.3,-17.55,"101",Aunorocchia,,,Neutrals,undefined,Human,No religion,"1163",256.76,865.25,-17.55,-29.3,"4",,,citadel,,,,,./0.png
31.6829581959088,-20.6095762197098,"102",Ithanse,Nathele,Nathele Earldom,Dranzandyndor,Empire of Dranzandyndor,Elf,The Egyptian Pantheon,"6360",1720,938.5,-20.6,31.67,"4",,port,,walls,plaza,,,./0.png
3.93,-10.62,"103",Antenazag,Fasavigliaga,Fasavigliaga County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"818",1054.3,698.9,-10.62,3.93,"9",,,citadel,,,,,./0.png
-13.46,-1.86,"104",Sorbak,Nesbak,Nesbak Seneschalty,Tragbigia,Empire of Tragbigia,Dwarf,The Norse Pantheon,"549",637.03,488.73,-1.86,-13.46,"16",,,,,plaza,,,./0.png
-24.59,-23.59,"105",Carea,Belalentia,Belalentia County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"435",369.82,1010.18,-23.59,-24.59,"16",,,citadel,,,,,./0.png
-7.36,-7.84,"106",Hefar,,,Neutrals,undefined,Lizardfolk,No religion,"2440",783.3,632.2,-7.84,-7.36,"25",,,citadel,walls,plaza,,,./0.png
4.9,-7.87,"107",Pitre,,,Neutrals,undefined,Simic,No religion,"1159",1077.5,632.83,-7.87,4.9,"25",,,citadel,,,,,./0.png
16.25,-10.29,"108",Okuyayo,,,Neutrals,undefined,Aarakocra,No religion,"1257",1350,691,-10.29,16.25,"25",,port,citadel,,,,,./0.png
-4.37,-9.78,"109",Ydah,,,Neutrals,undefined,Lizardfolk,No religion,"892",855.03,678.78,-9.78,-4.37,"36",,,citadel,walls,,,,./0.png
16.71,-7.24,"110",Kauhouhuka,,,Neutrals,undefined,Kenku,No religion,"505",1360.93,617.77,-7.24,16.71,"64",,,citadel,walls,plaza,,,./0.png
-9.22,7.48,"111",Hajfafoldvar,,,Neutrals,undefined,Gnome,No religion,"3064",738.7,264.44,7.48,-9.22,"121",,,citadel,walls,plaza,,,./0.png
10.17,16.1,"112",Gual-Ni,,,Neutrals,undefined,Fairy,No religion,"10208",1204,57.5,16.1,10.17,"4",,port,,walls,plaza,temple,,./0.png
-2.86,14.85,"113",Osendyr,,,Neutrals,undefined,Dragonborn,No religion,"387",891.36,87.64,14.85,-2.86,"4",,,citadel,walls,plaza,,,./0.png
23.42,14.83,"114",Tlaugaust,Eerinlondra,Eerinlondra Shire,Dranzandyndor,Empire of Dranzandyndor,Elf,The Egyptian Pantheon,"6262",1522,88,14.83,23.42,"4",,port,citadel,walls,plaza,temple,,./0.png
-1.5,13.57,"115",Holand,,,Neutrals,undefined,Dragonborn,No religion,"860",923.99,118.24,13.57,-1.5,"4",,,,walls,,,,./0.png
0.56,13.61,"116",Snuba,,,Neutrals,undefined,Dragonborn,No religion,"381",973.46,117.35,13.61,0.56,"4",,,citadel,,,,,./0.png
3.62,13.2,"117",Austsodoy,,,Neutrals,undefined,Dragonborn,No religion,"391",1046.81,127.17,13.2,3.62,"4",,,,,plaza,,,./0.png
6.63,13.56,"118",Jadah,,,Neutrals,undefined,Yuan-ti,No religion,"3500",1119.17,118.65,13.56,6.63,"4",,,,walls,,,,./0.png
-16.08,12.65,"119",Pseicatemea,,,Neutrals,undefined,Minotaur,No religion,"416",573.96,140.51,12.65,-16.08,"4",,,,,,,,./0.png
1.65,12.96,"120",Naurskifla,,,Neutrals,undefined,Dragonborn,No religion,"3255",999.66,133.07,12.96,1.65,"4",,,,,,,,./0.png
26.62,12.59,"121",Niorasaset,Imsenatha,Imsenatha County,Dranzandyndor,Empire of Dranzandyndor,Elf (Sea),The Egyptian Pantheon,"436",1598.99,141.89,12.59,26.62,"4",,,citadel,,,,,./0.png
2.12,12.0,"122",Stoklausto,,,Neutrals,undefined,Dragonborn,No religion,"6178",1010.83,155.93,12,2.12,"4",,,citadel,walls,,,shanty town,./0.png
-33.63,11.63,"123",Ovarmat,,,Neutrals,undefined,Half-Orc,No religion,"393",152.91,164.81,11.63,-33.63,"4",,,,,,,,./0.png
-32.29,10.84,"124",Polas,,,Neutrals,undefined,Half-Orc,No religion,"3866",185.05,183.75,10.84,-32.29,"4",,,citadel,walls,plaza,,,./0.png
-29.99,11.19,"125",Zircserpele,,,Neutrals,undefined,Half-Orc,No religion,"399",240.12,175.48,11.19,-29.99,"4",,,,walls,plaza,,,./0.png
-33.09,10.44,"126",Ocsegy,,,Neutrals,undefined,Half-Orc,No religion,"381",165.81,193.45,10.44,-33.09,"4",,,citadel,,,,,./0.png
-28.5,8.7,"127",Nalasz,,,Neutrals,undefined,Orc,No religion,"737",276.05,235.13,8.7,-28.5,"4",,,,,,,,./0.png
-28.82,7.99,"128",Pakszentg,,,Neutrals,undefined,Orc,No religion,"1059",268.31,252.26,7.99,-28.82,"4",,,citadel,,,,,./0.png
-32.39,7.39,"129",Hajkihar,,,Neutrals,undefined,Orc,No religion,"3216",182.72,266.69,7.39,-32.39,"4",,,citadel,walls,,,,./0.png
-30.94,5.09,"130",Misawatara,,,Neutrals,undefined,Loxodon,No religion,"5396",217.44,321.73,5.09,-30.94,"4",,,citadel,walls,plaza,,,./0.png
1.94,2.09,"131",Fananasin,,,Neutrals,undefined,Triton,No religion,"977",1006.46,393.76,2.09,1.94,"4",,,citadel,walls,plaza,,,./0.png
-13.11,-1.23,"132",Sigloy,Stamstania,Stamstania County,Tragbigia,Empire of Tragbigia,Dwarf,The Norse Pantheon,"384",645.35,473.47,-1.23,-13.11,"4",,,citadel,,plaza,,,./0.png
3.41,-6.32,"133",Mignes,,,Neutrals,undefined,Simic,No religion,"777",1041.85,595.66,-6.32,3.41,"4",,,,,,,,./0.png
6.8,-7.16,"134",Aberg,,,Neutrals,undefined,Satyr,No religion,"463",1123.3,615.9,-7.16,6.8,"4",,,citadel,,,,,./0.png
-36.5,-8.75,"135",Gavio,Citritelia,Citritelia County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"2751",84,654,-8.75,-36.5,"4",,port,,walls,plaza,,,./0.png
31.21,-9.65,"136",Rethyrgor,,,Neutrals,undefined,Elf,No religion,"813",1709,675.7,-9.65,31.21,"4",,,,,plaza,,,./0.png
8.38,-11.69,"137",Saintsayanza,,,Neutrals,undefined,Gith,No religion,"461",1161.2,724.5,-11.69,8.38,"4",,,,,,,,./0.png
8.11,-12.02,"138",Khankhaan,,,Neutrals,undefined,Gith,No religion,"1312",1154.72,732.42,-12.02,8.11,"4",,,,,plaza,,,./0.png
-29.01,-14.6,"139",Fiananolonsa,,,Neutrals,undefined,Human,No religion,"1388",263.88,794.43,-14.6,-29.01,"4",,,citadel,,,,,./0.png
17.7,-16.79,"140",Kaulupa,,,Neutrals,undefined,Firbolg,No religion,"2160",1384.79,847,-16.79,17.7,"4",,,citadel,walls,,,,./0.png
29.86,-16.46,"141",Faranathana,,,Neutrals,undefined,Elf,No religion,"1213",1676.54,839.05,-16.46,29.86,"4",,,,walls,plaza,,,./0.png
2.01,-18.85,"142",Fiumosico,,,Neutrals,undefined,Human,No religion,"1129",1008.35,896.5,-18.85,2.01,"4",,,citadel,,,,,./0.png
17.8,-19.06,"143",Ukueolea,,,Neutrals,undefined,Firbolg,No religion,"2107",1387.16,901.35,-19.06,17.8,"4",,,,,,,,./0.png
28.47,-19.01,"144",Nyuegheinas,Ormmarmelfa,Ormmarmelfa Earldom,Dranzandyndor,Empire of Dranzandyndor,Elf (Wood),The Egyptian Pantheon,"457",1643.4,900.23,-19.01,28.47,"4",,,,,,,,./0.png
21.25,-19.8,"145",Bouazga,,,Neutrals,undefined,Tabaxi,No religion,"402",1470.04,919.27,-19.8,21.25,"4",,,citadel,,,,,./0.png
22.63,-20.12,"146",Boussort,,,Neutrals,undefined,Tabaxi,No religion,"3919",1503.21,926.85,-20.12,22.63,"4",,,,walls,plaza,,,./0.png
22.17,-20.76,"147",Amknastour,,,Neutrals,undefined,Tabaxi,No religion,"398",1492.1,942.19,-20.76,22.17,"4",,,,,,,,./0.png
-2.92,-11.6,"148",Ciamponeria,Ancignania,Ancignania Landgrave,Fonticalia,Fonticalian Empire,Human,Greek Deities,"688",890,722.5,-11.6,-2.92,"9",,port,citadel,walls,,,,./0.png
-0.81,-14.6,"149",Sontano,Scandrigno,Scandrigno Landgrave,Fonticalia,Fonticalian Empire,Human,Greek Deities,"687",940.5,794.36,-14.6,-0.81,"9",,,,,plaza,,,./0.png
4.14,-6.55,"150",Kaberkinver,,,Neutrals,undefined,Satyr,No religion,"403",1059.36,601.31,-6.55,4.14,"16",,,citadel,,,,,./0.png
-5.01,-9.1,"151",Safah,,,Neutrals,undefined,Lizardfolk,No religion,"516",839.85,662.44,-9.1,-5.01,"16",,,citadel,,plaza,,,./0.png
-18.85,-23.94,"152",Montero,Bormano,Bormano Shire,Fonticalia,Fonticalian Empire,Human,Greek Deities,"5474",507.5,1018.5,-23.94,-18.85,"16",,port,,walls,,temple,,./0.png
26.1,-6.07,"153",Fel-Did,,,Neutrals,undefined,Elf,No religion,"1864",1586.37,589.64,-6.07,26.1,"25",,,citadel,,,,,./0.png
-35.72,-12.81,"154",Fonsamatri,,,Neutrals,undefined,Human,No religion,"1982",102.78,751.43,-12.81,-35.72,"25",,,,,plaza,,,./0.png
-23.58,-22.78,"155",Patrivana,,,Neutrals,undefined,Human,No religion,"2309",394.04,990.83,-22.78,-23.58,"25",,,citadel,,,,,./0.png
-7.81,-22.9,"156",Pigramere,Guino,Guino County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"9315",772.5,993.5,-22.9,-7.81,"25",,port,citadel,walls,plaza,temple,shanty town,./0.png
-20.46,-22.94,"157",Ciamba,Vicia,Vicia County,Fonticalia,Fonticalian Empire,Human,Greek Deities,"2551",469.02,994.67,-22.94,-20.46,"25",,,citadel,,plaza,,,./0.png
24.64,3.24,"158",Umsenomanil,,,Neutrals,undefined,Elf,No religion,"396",1551.4,366.12,3.24,24.64,"36",,,citadel,,,,,./0.png
